Comment,Designator,Footprint,LCSC Part #
0.47R,R9,R0402,C723356
1M,R4,R0402,
1uF/50V,C9 C10 C11 C16,C0402,
1x2P SH,J1,1X02_1MM_RA_VERT,C479987
2.55R,R12,R0402,C477655
3.3k,R10,R0402,
4.7uF/25V,C3 C8 C12 C13 C14 C15,C0402,
4.7uF/25V,C20,C0603,
10k,R8,R0402,
10uF/25V,C21,C0603,
10uH/1A,L1,SMNR4020,C497803
AFC24-S24FIC-00,J5,FFC2B2824G,C262292
EN button,FLASH RESET,1TS003B16003500A,C255808
ESP32-S3-MINI-1-N8,IC2,ESP32S3MINI1N8,
JST-SH-4P,J2,1X04_1MM_RA_VERT,C371588
MBR0530,D4 D5 D6,SOD123-F,
RED,CHARGING,CHIP-LED0603,C241893
Si1308EDL,Q4,SOT65P210X110-3N,C469327
USB-C_GT-USB-7010B,J4,G-SWITCH_GT-USB-7010B,C2837092
1.3M,R21,R0402,
1M,R20,R0402,
3k3,R11,R0402,
4.7k,R14 R19,R0402,
5.1k,R15 R16,R0402,
10k,R1 R2 R17,R0402,
10uF/10V,C4 C5 C7 C17 C18,C0402,
47uF,C2,C0603,C178330
100k,R18,R0402,
100nF,C1 C6 C24,C0402,
AO3401,Q5,SOT23,
BAT60B,D1 D3,SOD323-R,
JUMPER-SMT_2_NO_NO-SILK,I2C_PULL-UP,SMT-JUMPER_2_NO_NO-SILK,
JUMPER-SMT_2_NO_SILK,JP1 JP2,SMT-JUMPER_2_NO_SILK,
LESD5D5.0CT1G,D8 D9 D10,LESD5D50CT1G,
RT9080-33GJ5,IC4 LDO,SOT94P280X100-5N,
TP4054,U1,SOT-23-5,C32574
WIREPADSMD2X1MM,BAT+ GND,SMD2X1MM,
